Category: All categories

Week,netflix: (Maine)
2019-11-17,55
2019-11-24,66
2019-12-01,64
2019-12-08,52
2019-12-15,68
2019-12-22,78
2019-12-29,96
2020-01-05,69
2020-01-12,71
2020-01-19,70
2020-01-26,56
2020-02-02,64
2020-02-09,59
2020-02-16,72
2020-02-23,49
2020-03-01,50
2020-03-08,58
2020-03-15,78
2020-03-22,83
2020-03-29,100
2020-04-05,76
2020-04-12,68
2020-04-19,77
2020-04-26,79
2020-05-03,68
2020-05-10,64
2020-05-17,58
2020-05-24,62
2020-05-31,64
2020-06-07,60
2020-06-14,47
2020-06-21,58
2020-06-28,69
2020-07-05,71
2020-07-12,66
2020-07-19,58
2020-07-26,50
2020-08-02,55
2020-08-09,42
2020-08-16,59
2020-08-23,69
2020-08-30,62
2020-09-06,74
2020-09-13,83
2020-09-20,61
2020-09-27,70
2020-10-04,64
2020-10-11,56
2020-10-18,74
2020-10-25,63
2020-11-01,47
2020-11-08,50
