Category: All categories

Region,Netflix: (12/16/19 - 12/16/20)
Vermont,100
Maine,95
Massachusetts,93
California,92
District of Columbia,92
New Hampshire,92
Connecticut,91
Rhode Island,90
Oregon,89
Hawaii,88
New Jersey,88
Delaware,86
Maryland,86
Arizona,86
Colorado,86
Texas,84
Montana,84
Washington,83
Oklahoma,83
Wyoming,83
Idaho,82
Virginia,82
New Mexico,82
Utah,82
Minnesota,82
Pennsylvania,81
Arkansas,81
Illinois,81
Iowa,81
New York,81
Florida,81
Alaska,80
South Dakota,80
Michigan,80
Wisconsin,80
Kentucky,80
Nebraska,79
North Dakota,79
Missouri,79
Kansas,79
Louisiana,78
North Carolina,78
Ohio,77
Nevada,77
Indiana,77
Georgia,76
South Carolina,76
West Virginia,76
Alabama,76
Mississippi,75
Tennessee,73
