Category: All categories

Week,netflix: (Massachusetts)
2019-12-08,47
2019-12-15,55
2019-12-22,74
2019-12-29,85
2020-01-05,69
2020-01-12,58
2020-01-19,70
2020-01-26,55
2020-02-02,57
2020-02-09,54
2020-02-16,57
2020-02-23,57
2020-03-01,50
2020-03-08,55
2020-03-15,95
2020-03-22,95
2020-03-29,100
2020-04-05,82
2020-04-12,85
2020-04-19,92
2020-04-26,79
2020-05-03,80
2020-05-10,70
2020-05-17,66
2020-05-24,71
2020-05-31,59
2020-06-07,62
2020-06-14,60
2020-06-21,66
2020-06-28,66
2020-07-05,64
2020-07-12,63
2020-07-19,57
2020-07-26,52
2020-08-02,57
2020-08-09,53
2020-08-16,60
2020-08-23,58
2020-08-30,62
2020-09-06,68
2020-09-13,71
2020-09-20,61
2020-09-27,60
2020-10-04,60
2020-10-11,60
2020-10-18,61
2020-10-25,60
2020-11-01,49
2020-11-08,57
2020-11-15,56
2020-11-22,65
2020-11-29,58
