Category: All categories

Week,netflix: (United States),AMC: (United States)
2019-12-08,51,16
2019-12-15,59,21
2019-12-22,79,39
2019-12-29,91,33
2020-01-05,71,20
2020-01-12,66,21
2020-01-19,69,22
2020-01-26,59,17
2020-02-02,58,15
2020-02-09,60,20
2020-02-16,58,19
2020-02-23,56,16
2020-03-01,55,15
2020-03-08,58,13
2020-03-15,92,8
2020-03-22,100,3
2020-03-29,98,3
2020-04-05,88,4
2020-04-12,83,3
2020-04-19,95,3
2020-04-26,86,3
2020-05-03,81,2
2020-05-10,74,4
2020-05-17,73,3
2020-05-24,73,3
2020-05-31,63,3
2020-06-07,69,4
2020-06-14,65,4
2020-06-21,69,3
2020-06-28,71,3
2020-07-05,68,3
2020-07-12,68,3
2020-07-19,67,3
2020-07-26,65,3
2020-08-02,64,3
2020-08-09,63,6
2020-08-16,68,8
2020-08-23,63,6
2020-08-30,64,6
2020-09-06,80,5
2020-09-13,81,5
2020-09-20,68,4
2020-09-27,63,5
2020-10-04,63,6
2020-10-11,60,8
2020-10-18,62,8
2020-10-25,64,6
2020-11-01,48,4
2020-11-08,58,6
2020-11-15,59,4
2020-11-22,66,5
2020-11-29,60,5
