Category: All categories

Region,Netflix: (11/13/19 - 11/13/20)
Vermont,100
Maine,94
Massachusetts,93
Rhode Island,92
District of Columbia,91
Connecticut,91
New Hampshire,90
California,90
New Jersey,90
Oregon,89
Hawaii,89
Washington,86
Delaware,86
Alaska,85
Illinois,84
Maryland,84
Colorado,84
Montana,84
Minnesota,84
Arizona,83
Idaho,82
Virginia,82
Texas,82
New York,82
New Mexico,82
Utah,82
Florida,81
Oklahoma,80
Arkansas,80
Iowa,80
Kentucky,79
Kansas,79
Nevada,79
Pennsylvania,79
Michigan,79
North Carolina,79
North Dakota,78
Missouri,78
Wisconsin,78
Wyoming,77
Indiana,77
Georgia,77
Louisiana,77
West Virginia,76
Mississippi,76
Nebraska,76
South Carolina,76
South Dakota,76
Ohio,76
Tennessee,75
Alabama,73
