Category: All categories

Week,Netflix: (United States)
2019-10-27,54
2019-11-03,54
2019-11-10,54
2019-11-17,51
2019-11-24,59
2019-12-01,51
2019-12-08,50
2019-12-15,58
2019-12-22,76
2019-12-29,88
2020-01-05,68
2020-01-12,64
2020-01-19,67
2020-01-26,57
2020-02-02,57
2020-02-09,57
2020-02-16,57
2020-02-23,54
2020-03-01,53
2020-03-08,57
2020-03-15,90
2020-03-22,100
2020-03-29,95
2020-04-05,87
2020-04-12,82
2020-04-19,92
2020-04-26,84
2020-05-03,81
2020-05-10,73
2020-05-17,73
2020-05-24,72
2020-05-31,63
2020-06-07,68
2020-06-14,63
2020-06-21,67
2020-06-28,70
2020-07-05,68
2020-07-12,66
2020-07-19,66
2020-07-26,63
2020-08-02,64
2020-08-09,61
2020-08-16,67
2020-08-23,61
2020-08-30,62
2020-09-06,78
2020-09-13,80
2020-09-20,66
2020-09-27,62
2020-10-04,61
2020-10-11,59
2020-10-18,64
