Category: All categories

Week,Netflix: (United States)
2017-11-19,83
2017-11-26,70
2017-12-03,74
2017-12-10,71
2017-12-17,84
2017-12-24,100
2017-12-31,98
2018-01-07,78
2018-01-14,83
2018-01-21,78
2018-01-28,74
2018-02-04,72
2018-02-11,71
2018-02-18,71
2018-02-25,73
2018-03-04,73
2018-03-11,73
2018-03-18,71
2018-03-25,76
2018-04-01,78
2018-04-08,70
2018-04-15,70
2018-04-22,67
2018-04-29,66
2018-05-06,65
2018-05-13,73
2018-05-20,77
2018-05-27,80
2018-06-03,73
2018-06-10,76
2018-06-17,72
2018-06-24,74
2018-07-01,77
2018-07-08,69
2018-07-15,72
2018-07-22,75
2018-07-29,76
2018-08-05,70
2018-08-12,75
2018-08-19,74
2018-08-26,72
2018-09-02,73
2018-09-09,67
2018-09-16,69
2018-09-23,67
2018-09-30,68
2018-10-07,70
2018-10-14,72
2018-10-21,73
2018-10-28,78
2018-11-04,66
2018-11-11,68
2018-11-18,77
2018-11-25,66
2018-12-02,70
2018-12-09,72
2018-12-16,81
