Category: All categories

Week,netflix: (United States)
2018-11-11,49
2018-11-18,56
2018-11-25,50
2018-12-02,51
2018-12-09,52
2018-12-16,58
2018-12-23,100
2018-12-30,91
2019-01-06,69
2019-01-13,74
2019-01-20,71
2019-01-27,66
2019-02-03,55
2019-02-10,56
2019-02-17,56
2019-02-24,51
2019-03-03,54
2019-03-10,52
2019-03-17,51
2019-03-24,52
2019-03-31,52
2019-04-07,51
2019-04-14,51
2019-04-21,50
2019-04-28,52
2019-05-05,51
2019-05-12,51
2019-05-19,53
2019-05-26,60
2019-06-02,56
2019-06-09,54
2019-06-16,57
2019-06-23,57
2019-06-30,57
2019-07-07,56
2019-07-14,57
2019-07-21,56
2019-07-28,54
2019-08-04,51
2019-08-11,52
2019-08-18,53
2019-08-25,52
2019-09-01,52
2019-09-08,48
2019-09-15,52
2019-09-22,49
2019-09-29,50
2019-10-06,52
2019-10-13,51
2019-10-20,51
2019-10-27,53
2019-11-03,52
2019-11-10,53
2019-11-17,49
2019-11-24,57
2019-12-01,48
