Category: All categories

Week,Streaming Service: (United States)
2019-10-27,69
2019-11-03,64
2019-11-10,100
2019-11-17,56
2019-11-24,55
2019-12-01,51
2019-12-08,40
2019-12-15,48
2019-12-22,56
2019-12-29,66
2020-01-05,49
2020-01-12,53
2020-01-19,52
2020-01-26,43
2020-02-02,41
2020-02-09,38
2020-02-16,40
2020-02-23,39
2020-03-01,38
2020-03-08,34
2020-03-15,51
2020-03-22,51
2020-03-29,52
2020-04-05,50
2020-04-12,58
2020-04-19,50
2020-04-26,45
2020-05-03,43
2020-05-10,43
2020-05-17,44
2020-05-24,44
2020-05-31,38
2020-06-07,43
2020-06-14,37
2020-06-21,46
2020-06-28,68
2020-07-05,51
2020-07-12,53
2020-07-19,51
2020-07-26,45
2020-08-02,46
2020-08-09,45
2020-08-16,43
2020-08-23,43
2020-08-30,47
2020-09-06,61
2020-09-13,58
2020-09-20,50
2020-09-27,54
2020-10-04,50
2020-10-11,46
2020-10-18,58
