Category: All categories

Week,netflix: (Vermont)
2019-11-17,54
2019-11-24,67
2019-12-01,53
2019-12-08,56
2019-12-15,81
2019-12-22,91
2019-12-29,100
2020-01-05,68
2020-01-12,79
2020-01-19,76
2020-01-26,63
2020-02-02,78
2020-02-09,64
2020-02-16,73
2020-02-23,57
2020-03-01,67
2020-03-08,61
2020-03-15,97
2020-03-22,97
2020-03-29,98
2020-04-05,86
2020-04-12,86
2020-04-19,95
2020-04-26,89
2020-05-03,87
2020-05-10,79
2020-05-17,74
2020-05-24,69
2020-05-31,75
2020-06-07,72
2020-06-14,65
2020-06-21,64
2020-06-28,71
2020-07-05,79
2020-07-12,75
2020-07-19,66
2020-07-26,75
2020-08-02,58
2020-08-09,69
2020-08-16,69
2020-08-23,65
2020-08-30,56
2020-09-06,84
2020-09-13,87
2020-09-20,76
2020-09-27,76
2020-10-04,81
2020-10-11,64
2020-10-18,64
2020-10-25,76
2020-11-01,52
2020-11-08,46
